extract_date,id,title,street_name,general_address,apartment_type,stock,total_area,used_area,rooms,bedrooms,bathrooms,cold_rent,total_rent,condition
yesterday,103707586,#Repräsentative Miet-Maisonette mit großem Balkon direkt am Potsdamer Platz!,BrüderGrimmGasse ,"10785 Berlin, Tiergarten (Tiergarten)",Maisonette,4 von 11,"142,92 m²","142,92 m²",3,2.0,3.0,2.287 €,2.891 €,
yesterday,111824174,Altbaucharme und hohe Decken,Rennbahnstraße ,"13088 Berlin, Weißensee (Weißensee)",Etagenwohnung,3 von 4,"67,93 m²","67,93 m²",2,1.0,1.0,646 €,734 € (zzgl. Heizkosten),Gepflegt
yesterday,77150587,Helle Luxuswohnung on Top im Bellevueensemble am Tiergarten,Melanchthonstr. ,"10557 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,7 von 8,"137,26 m²","142,36 m²","4,5",3.0,2.0,2.333 €,2.693 €,Neuwertig
yesterday,111766914,Furnished! Möblierte Luxuswohnung in Stadtvilla in grüner Lage nahe Fauler See,Feldtmannstraße ,"13051 Berlin, Weißensee (Weißensee)",Etagenwohnung,1 von 3,"65,54 m²",,2,1.0,1.0,800 €,998 €,Gepflegt
yesterday,112074763,"2,5 Zimmer - Balkon - Parkett - EBK",Güntzelstraße ,"10717 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,5 von 5,"82,41 m²",,"2,5",2.0,1.0,"782,89 €","998,89 €",Gepflegt
yesterday,111139039,FLAT SHOWING:12th Dec. at 5:30pm! WONDERFUL FLAT SHARE ABLE 3 ROOM APARTMENT! Für DEUTSCH scrollen!,Nordkapstraße ,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Etagenwohnung,1 von 4,"110,6 m²",,3,3.0,1.0,1.399 €,1.599 €,Saniert
yesterday,106943695,"Rollstuhlgerechte NB-Wohng. mit Loggia, Laminat u. EBK, vom Vermieter!",Niederstraße ,"13158 Berlin, Rosenthal (Pankow)",Etagenwohnung,1,78 m²,78 m²,2,1.0,1.0,664 €,"859,90 €",Modernisiert
yesterday,110031604,Maisonettewohnung mit Großstadtflair am Potsdamer Platz!,JosephvonEichendorffGasse ,"10785 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,8,"83,49 m²",,2,1.0,1.0,1.450 €,"1.783,96 €",Neuwertig
yesterday,112153381,Helle Altbauwohnung mit viel Fensterfläche,Windsteiner Weg ,"14165 Berlin-Zehlendorf, Zehlendorf (Zehlendorf)",Etagenwohnung,3 von 3,"58,16 m²","58,16 m²",2,1.0,1.0,553 €,715 €,Renovierungsbedürftig
yesterday,112176567,Erstbezug nach Renovierung! 2 Zimmer mit Balkon im Prenzlauer Berg!,Ibsenstraße ,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Etagenwohnung,1 von 5,64 m²,64 m²,2,1.0,1.0,928 €,1.040 €,Vollständig renoviert
yesterday,73531474,"Sonnige Altbauwohnung am Treptower Park! Erker, Dielung..",Puderstraße ,"12435 Berlin, Plänterwald (Treptow)",Etagenwohnung,1 von 4,78 m²,78 m²,2,2.0,1.0,899 €,1.079 €,Modernisiert
yesterday,112169075,Gemütliche Wohnung mit Balkon im quirligen Moabit,Stromstraße ,"10555 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,4 von 7,44 m²,,2,1.0,2.0,"510,14 €","625,14 €",Gepflegt
yesterday,93091922,yoo berlin! - Exklusives Wohnen an der Spree!,BertoltBrechtPlatz ,"10117 Berlin, Mitte (Mitte)",Etagenwohnung,1 von 10,115 m²,,3,2.0,2.0,1.748 €,"2.246,20 €",Vollständig renoviert
yesterday,109483588,Der Klassiker! Exklusiver Altbau gleich am Kurfürstendamm!,JohannGeorgStraße ,"10709 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,1 von 5,200 m²,,6,5.0,2.0,2.297 €,2.682 €,Vollständig renoviert
yesterday,110494869,Gemütliche 1 Zimmer-Altbauwohnung im begehrten Kreuzberg,Graefestraße ,"10967 Berlin, Kreuzberg (Kreuzberg)",Etagenwohnung,2,39 m²,,1,1.0,1.0,507 €,642 €,Gepflegt
yesterday,78685698,"Single- oder Pärchenwohnung! Ruhige Lage in Wedding! Altbau, EBK, Dielen, Duschbad...",Willdenowstraße ,"13353 Berlin, Wedding (Wedding)",Etagenwohnung,2 von 5,51 m²,51 m²,2,1.0,1.0,689 €,819 €,Saniert
yesterday,75997860,"Tolle 3 Zimmer-Wohnung im attraktiven Altbau in Charlottenburg!! EBK, Balkon, Vollbad, Dielen..",Fritschestraße ,"10585 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,4 von 5,102 m²,102 m²,3,2.0,1.0,1.349 €,1.599 €,Saniert
yesterday,98338065,Erstbezug: Sanierte Wohnung für Altbauliebhaber!,Bismarckstr. ,"10627 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,3 von 4,159 m²,159 m²,3,,1.0,1.590 €,1.960 €,Erstbezug nach Sanierung
yesterday,111242517,"Besichtigung am Mittwoch, den 13.12. um 17:00 Uhr! Erstbezug nach Mod. im Altbau! 3 Zimmer! Dielen!",Groener Straße ,"13585 Berlin, Spandau (Spandau)",Etagenwohnung,3,"93,07 m²","93,07 m²",3,,1.0,789 €,"998,90 €",Modernisiert
yesterday,107508448,Traumwohnung am Wasser mit 4 Zimmern über 3 Etagen mit 185 m² + Garten + Terrasse + Tiefgarage,Grünauer Str. F,"12557 Berlin, Köpenick (Köpenick)",Maisonette,,185 m²,185 m²,4,1.0,2.0,1.670 €,1.999 €,Modernisiert
yesterday,103908813,Große 3 Zimmer-Wohnung im EG / WG-geeignet*,Klarastraße ,"12459 Berlin, Oberschöneweide (Köpenick)",Erdgeschosswohnung,0 von 4,"80,4 m²","80,4 m²",3,2.0,1.0,1.030 €,1.190 €,Erstbezug nach Sanierung
yesterday,105326305,Clever Wohnen für junge Köpfe - H2F,Rudower Chaussee ,"12489 Berlin Adlershof, Adlershof (Treptow)",Etagenwohnung,4 von 4,84 m²,84 m²,3,2.0,1.0,910 €,1.184 €,Neuwertig
yesterday,111049383,Budapester Höfe - Vertriebsstart zweiter Bauabschnitt!,Heidestraße ,"10557 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,5 von 6,103 m²,,4,3.0,1.0,1.575 €,"1.857,30 €",Erstbezug
yesterday,112124042,"80 m² Dachterrasse, einfach ein Träumchen....",Drakestraße ,"12205 Berlin, Lichterfelde (Steglitz)",Etagenwohnung,2,118 m²,,3,1.0,1.0,1.330 €,1.620 €,Gepflegt
yesterday,112147711,+++ Sanierte 2-Zimmer-Wohnung im Herzen von Berlin+++,Koloniestraße ,"13359 Berlin, Wedding (Wedding)",Etagenwohnung,2 von 5,50 m²,,2,1.0,1.0,625 €,750 €,Erstbezug nach Sanierung
yesterday,111969496,WBS mit Dringlichkeit - Sanierte 2 Zimmer Erdgeschosswohnung mit Balkon,Pichelsdorfer Str. ,"13595 Berlin, Spandau (Spandau)",Erdgeschosswohnung,0,"60,58 m²",,2,1.0,1.0,"445,75 €","658,75 €",Erstbezug nach Sanierung
yesterday,67025681,Gut geschnittene 3-Zimmer-Wohnung m. Balkon,Marschallstrasse ,"13585 Berlin, Spandau (Spandau)",Etagenwohnung,1 von 3,63 m²,,3,2.0,1.0,550 €,700 € (zzgl. Heizkosten),Neuwertig
yesterday,108116620,4 Zimmer am Alex,Berolinastr. ,"10178 Berlin, Mitte (Mitte)",Etagenwohnung,2 von 7,"119,04 m²",,4,3.0,2.0,"1.607,04 €","2.034,64 €",Erstbezug
yesterday,108370906,3 Zimmer im Neubau mit Blick vom sonnigem Balkon zum Fernsehturm,Berolinastr. ,"10178 Berlin, Mitte (Mitte)",Etagenwohnung,5 von 7,"88,48 m²",,3,2.0,1.0,"1.327,20 €","1.678,40 €",Erstbezug
yesterday,111440194,2-Zimmerwohnung in Wilhelmstadt,Wilhelmstraße ,"13595 Berlin, Spandau (Spandau)",Etagenwohnung,4 von 4,"61,74 m²","61,74 m²",2,1.0,1.0,"402,50 €",615 €,Gepflegt
yesterday,111114522,SUNNY PRIVATE CALM GARDEN AT THE TOP FLAT OF YOUR DREAMS in PRENZLAUER BERG!!! Für DEUTSCH scrollen!,Nordkapstraße ,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Erdgeschosswohnung,0 von 4,"77,18 m²",,2,2.0,1.0,"999,48 €","1.153,84 €",Saniert
yesterday,111899230,Mini Apartment mit Einbauküche in ruhiger Lage,KaiserinAugustaAllee ,"10553 Berlin-Tiergarten, Tiergarten (Tiergarten)",Etagenwohnung,1 von 5,"18,9 m²","18,9 m²",1,,1.0,378 €,438 €,Saniert
yesterday,112145676,Wohnen in Rixdorf - schöne große 1-Zi-Wohnung,Wipperstr. ,"12055 Berlin, Neukölln (Neukölln)",Etagenwohnung,3 von 4,"44,28 m²","44,28 m²",1,1.0,1.0,530 €,630 €,Vollständig renoviert
yesterday,111422623,Öffentliche Besichtigung am 14.12.17 um 14 Uhr-Gepflegte Einheit mit super Blick über Moabit,Stephanstraße ,"10559 Berlin-Mitte, Tiergarten (Tiergarten)",Etagenwohnung,5 von 7,"33,51 m²","33,51 m²",1,,1.0,470 €,591 €,Gepflegt
yesterday,111971047,**Erstbezug nach Sanierung!** Singlewohnung mit Balkon und EBK,Kornblumenring ,"12357 Berlin, Rudow (Neukölln)",Dachgeschoss,2 von 2,"42,13 m²",,1,1.0,1.0,"463,43 €","591,46 €",Erstbezug nach Sanierung
yesterday,111970957,"NEUBAU - 2-Zimmer Wohnung mit EBK, Balkon und modernem WB",Seesener Str. ,"10711 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,3 von 6,"58,8 m²",,2,1.0,1.0,"777,60 €","995,21 €",Neuwertig
yesterday,112128006,Sanierte 3-Zimmer Altbauwohnung im schönen Spandau,Földerichstr. ,"13595 Berlin, Spandau (Spandau)",Etagenwohnung,3,"126,54 m²",,3,2.0,1.0,1.062 €,1.198 € (zzgl. Heizkosten),Gepflegt
yesterday,111169226,WILLKOMMEN AN DER MEDIA_SPREE,Stralauer Allee ,"10245 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,4 von 4,"48,26 m²","48,26 m²","1,5",1.0,1.0,486 €,609 €,Gepflegt
yesterday,104684857,"Besichtigung der Wohnung Germersheimer Weg 31 C am Donnerstag, 07. Dezember 2017 um 08.30 Uhr",Germersheimer Weg  C,"13583 Berlin, Spandau (Spandau)",Etagenwohnung,2 von 4,"67,63 m²",0 m²,2,1.0,1.0,540 €,730 €,Gepflegt
yesterday,110773055,ERSTBEZUG! Traumhafte 3-Zimmer-Wohnung im 1.OG zu vermieten!,Rückerstraße ,"10119 Berlin, Mitte (Mitte)",Etagenwohnung,1 von 4,"87,31 m²",,3,2.0,1.0,"1.527,93 €",1.903 €,Erstbezug
yesterday,108665868,"** schicke 2 Zimmerwohnung mit EBK, Balkon, mod.Bad",Mecklenburgsche Str ,"14197 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,1,"54,4 m²",,2,1.0,1.0,653 €,828 €,Modernisiert
yesterday,111669105,Attraktive 3-Zimmer-Wohnung im 2. OG,Wittenberger Str. ,"12689 Berlin, Marzahn (Marzahn)",Etagenwohnung,2 von 4,"76,09 m²",,3,2.0,1.0,"551,65 €","746,63 €",Gepflegt
yesterday,104399060,**2 -Zimmer Wohnung für Sie**,Meinekestraße ,"10719 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,4 von 8,"95,27 m²",,2,1.0,1.0,"1.095,61 €","1.417,69 €",Gepflegt
yesterday,97343599,Helle 3-Zimmer-Wohnung,Wittenberger Straße ,"12689 Berlin, Marzahn (Marzahn)",Dachgeschoss,4 von 4,"96,9 m²",,3,2.0,1.0,"702,53 €","957,67 €",Gepflegt
yesterday,112078030,Altbau - Ruhige Singlewohnung im Innenhof - Graefekiez,Graefestraße ,"10967 Berlin-Kreuzberg, Kreuzberg (Kreuzberg)",Etagenwohnung,1 von 5,"30,82 m²","30,82 m²",1,,1.0,555 €,622 €,Gepflegt
yesterday,112094710,"citynahe und geräumige 2 Zimmer Wohnung, Erstbezug nach Sanierung",Frankfurter Allee ,"10247 Berlin, Friedrichshain (Friedrichshain)",,1 von 9,"62,58 m²","62,58 m²",2,1.0,1.0,920 €,1.100 €,Erstbezug nach Sanierung
yesterday,112088722,2-Zimmerneubauwohnung topmodernisiert,Hannemannstr. ,"12347 Berlin, Britz (Neukölln)",Hochparterre,1 von 6,62 m²,,2,1.0,1.0,432 €,638 €,Modernisiert
yesterday,111838857,"Große 2,5-Zi.-Whg. im grünen Charlottenburg - Parkett - EBK",Angerburger Allee ,"14055 Berlin, Charlottenburg (Charlottenburg)",Etagenwohnung,1,"83,73 m²",,"2,5",2.0,2.0,"790,41 €","991,48 €",Gepflegt
yesterday,112075593,"Besichtigung am Mittwoch, den 13.12. um 16:30 Uhr! MAISONETTE an der Altstadt Spandau!",Am Juliusturm ,"13597 Berlin, Spandau (Spandau)",Maisonette,1,"112,74 m²","112,74 m²",4,,2.0,1.011 €,"1.298,90 €",Modernisiert
yesterday,87769195,2 Zimmer Dachgeschoßwohnung in der Soorstraße 89: von Hausverwaltung,Soorstraße ,"14050 Berlin, Charlottenburg (Charlottenburg)",Dachgeschoss,7 von 7,"79,55 m²",,2,1.0,1.0,922 €,1.172 €,Gepflegt
yesterday,110442993,Süße 2-Zimmer-Wohnung / Erstbezug***,Klarastraße ,"12459 Berlin, Oberschöneweide (Köpenick)",Etagenwohnung,2 von 4,"47,71 m²","47,71 m²",2,1.0,1.0,700 €,795 €,Erstbezug nach Sanierung
yesterday,105349807,Traumhaftes Dachgeschoss - Erstbezug nach Sanierung! Letzte freie Wohnung im Haus!,Schirnerstr. ,"12524 Berlin, Altglienicke (Treptow)",Dachgeschoss,2 von 2,"80,36 m²","80,36 m²",3,2.0,1.0,"954,32 €","1.145,13 €",Erstbezug nach Sanierung
yesterday,111791817,Öffentliche Besichtigung am 14.12.17 um 13.30 Uhr-Singlewohnung mit großem Balkon am  MOA-Bogen ,Stephanstraße ,"10559 Berlin-Mitte, Tiergarten (Tiergarten)",Erdgeschosswohnung,2 von 5,"32,9 m²","32,9 m²",1,,1.0,461 €,569 €,Renovierungsbedürftig
yesterday,110031601,Großzügige Maisonettewohnung in der Mitte Berlins!,JosephvonEichendorffGasse ,"10785 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,8,"111,54 m²",,3,2.0,1.0,1.900 €,"2.346,16 €",Neuwertig
yesterday,111863777,Lebendige City - interessante Grundrisse,Luisenstraße ,"10117 Berlin-Mitte, Mitte (Mitte)",Etagenwohnung,3 von 5,"102,64 m²","102,64 m²",4,3.0,1.0,1.498 €,1.783 €,Vollständig renoviert
yesterday,105072169,"Erstbezug Neubau, helle 4-Zimmer-Whg mit 2 Bädern und 2 Terassen",Chausseestr. ,"10115 Berlin, Mitte (Mitte)",Loft,4 von 6,110 m²,110 m²,4,3.0,2.0,1.570 €,2.145 €,Erstbezug
yesterday,111712798,"Penthaus mit 100 qm Sonnenterrasse, Kamin, 2 Bäder, 2 EBK, Parkett ... in Charlottenburg",Schustehrusstrasse ,"10585 Berlin, Charlottenburg (Charlottenburg)",Penthouse,5,"321,29 m²",,6,3.0,2.0,"4.016,13 €","4.527,13 €",Saniert
yesterday,110499298,großzügige 1-Zi.Whg mit Terrasse -Erstbezug!Hinterhaus Erdgeschoss (li),Bürgerstr. ,"12347 Berlin, Britz (Neukölln)",Terrassenwohnung,0 von 4,43 m²,,1,1.0,1.0,465 €,515 € (zzgl. Heizkosten),Erstbezug
yesterday,111273506,Exclusive 3 room apartment - brand new!,Gitschiner Str. ,"10969 Berlin, Kreuzberg (Kreuzberg)",Etagenwohnung,1 von 4,"70,9 m²","70,9 m²",3,3.0,1.0,"1.134,40 €","1.311,65 €",
yesterday,112121152,Dachterrasse Penthouse mit Wasserblick an den Spree Alt-Stralau (Erstbezug),AltStralau ,"10245 Berlin, Friedrichshain (Friedrichshain)",Dachgeschoss,3 von 3,"90,48 m²","90,84 m²",2,1.0,1.0,1.500 €,1.850 €,Erstbezug
yesterday,112046837,Schöne Lichtdurchflutete Dachgeschosswohnung in bevorzugter Lage mit großer Dachterasse,,12587 Berlin,Dachgeschoss,4 von 4,78 m²,78 m²,3,2.0,1.0,964 €,1.164 €,Vollständig renoviert
yesterday,110598207,3 Raum Wohnung mit Dachgartenanteil und Balkon,Pohlestraße ,"12557 Berlin, Köpenick (Köpenick)",,3 von 5,83 m²,90 m²,3,2.0,1.0,828 €,998 €,Saniert
yesterday,96428478,geräumige 2-Zimmer-Wohnung,Berliner Allee ,"13088 Berlin, Weißensee (Weißensee)",Etagenwohnung,2 von 2,"67,87 m²","67,87 m²",2,1.0,1.0,"644,77 €","824,77 €",Vollständig renoviert
yesterday,104874579,Großzügiges Apartment direkt am Potsdamer Platz,GabrieleTergitPromenade ,"10963 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,5 von 8,216 m²,216 m²,5,4.0,2.0,2.641 €,3.271 €,Vollständig renoviert
yesterday,110349767,"Traumhafte geräumige Maisonettewohnung mit 4,5 Zimmern in Berlin, Hermsdorf (Reinickendorf)",,13467 Berlin,Terrassenwohnung,0 von 2,159 m²,159 m²,"4,5",3.0,2.0,1.900 €,2.342 €,Erstbezug
yesterday,111863912,Altbau mit Charme im Wohnpark Köpenick Klein Venedig,Wendenschlossstraße ,"12559 Berlin, Köpenick (Köpenick)",Hochparterre,1 von 3,66 m²,66 m²,2,1.0,1.0,545 €,690 €,Gepflegt
yesterday,111860849,"Reinickendorf, 3 Zimmer grundsaniert",Amendestr. ,"13409 Berlin, Reinickendorf (Reinickendorf)",Etagenwohnung,1 von 3,72 m²,72 m²,3,2.0,1.0,"610,80 €","820,80 €",Erstbezug nach Sanierung
yesterday,112026788,"Stadtvilla, höherwertige, helle 2 Zi.-Wohnung mit Terrasse u. TG, 2.OG, Bln.-Spandau",RichardMünchStraße ,"13591 Berlin, Staaken (Spandau)",Terrassenwohnung,2 von 3,58 m²,10 m²,2,1.0,1.0,510 €,685 €,Neuwertig
yesterday,112167898,Charmante 2-Zimmer-Wohnung mit Balkon,Seeburger Straße ,"13581 Berlin, Spandau (Spandau)",Etagenwohnung,4 von 5,"45,06 m²","45,06 m²",2,1.0,1.0,430 €,510 € (zzgl. Heizkosten),Gepflegt
yesterday,112174054,"2 Zimmer Altbauwohnung mit lackierten Dielen, Nähe S-Baumschulenweg",Glanzstr ,"12437 Berlin, Baumschulenweg (Treptow)",Etagenwohnung,1 von 4,"68,45 m²",,2,2.0,1.0,775 €,975 €,Saniert
yesterday,112174227,Provisionsfrei! Am Volkspark Humboldthain,Hochstr. ,"13357 Berlin, Wedding (Wedding)",Etagenwohnung,2 von 5,"68,1 m²","68,1 m²",3,2.0,1.0,"500,50 €","690,50 €",Saniert
yesterday,112173531,"ZWEITBEZUG N. SANIERUNG! Schicke 3 - Zi. - Wohnung! Mod. Wannenbad, Westbalkon, Laminat, Ebk, ruhig!",Grainauer Str. ,"10777 Berlin, Wilmersdorf (Wilmersdorf)",Etagenwohnung,2 von 4,"71,43 m²","71,43 m²",3,2.0,1.0,850 €,1.070 €,Gepflegt
yesterday,112173182,ERSTBEZUG am Hotspot Mitte!! Hochwertige 2 Zi. Whg. im ruhigen Seitenflügel gelegen und Balkon ,Beuthstraße  ,"10117 Berlin, Mitte (Mitte)",Etagenwohnung,4,"63,41 m²",,2,1.0,1.0,1.050 €,1.250 €,Erstbezug
yesterday,112172540,2-Zimmer Wohnung in Berlin-Tiergarten,Melanchthonstraße ,"10557 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,3 von 7,"60,9 m²","60,9 m²",2,1.0,1.0,"587,08 €","788,08 €",Gepflegt
yesterday,112176824,2-Zimmer Altbauwohnung,Jasmunder Str. ,"13355 Berlin, Wedding (Wedding)",,1 von 4,"62,86 m²","62,86 m²",2,1.0,1.0,"541,85 €","678,51 €",Modernisiert
yesterday,112154872,Zwischenmieter für 2 Jahre gesucht! Möblierte helle 2 Zimmer Wohnung im Friedrichshain,Landsberger Allee ,"10249 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,3 von 5,"50,1 m²","50,1 m²",2,1.0,1.0,750 €,860 €,
yesterday,112069817,Wohnen in Staaken,Nennhauser Damm a,"13591 Berlin, Staaken (Spandau)",Etagenwohnung,2,"71,57 m²",,2,1.0,1.0,501 €,"715,71 €",Gepflegt
yesterday,112150273,"Herrliche Altbauwohnung! WG geeignet! EBK, Balkon...Berlin-Neukölln!",Nogatstraße ,"12051 Berlin, Neukölln (Neukölln)",Etagenwohnung,3 von 4,74 m²,74 m²,3,2.0,1.0,795 €,965 €,Modernisiert
yesterday,112149014,3 Zimmer in Charlottenburg nahe S Westend (S-Ring),SophieCharlottenStraße A,"14059 Berlin, Charlottenburg (Charlottenburg)",Hochparterre,0 von 5,"60,22 m²",60 m²,3,2.0,1.0,813 €,930 € (zzgl. Heizkosten),Erstbezug nach Sanierung
yesterday,112130232,Exklusive 3-Zimmer * Erstbezug * Terrasse + Balkon* Bestlage,Beuthstraße ,"10117 Berlin, Mitte (Mitte)",Etagenwohnung,1 von 7,"81,7 m²","81,7 m²",3,2.0,1.0,1.225 €,1.445 €,Erstbezug
yesterday,112127669,"Wohnen, wo andere Urlaub machen! Ruhige Lage am Tegeler See! RENOVIERT + Balkon + Wannenbad",Scharfenberger Straße ,"13505 Berlin, Konradshöhe (Reinickendorf)",Etagenwohnung,1 von 3,65 m²,,2,1.0,1.0,650 €,830 €,Vollständig renoviert
yesterday,112127665,Schicke Neubau-Wohnung mit Komfort,Kommandantenstraße ,"10179 Berlin, Kreuzberg (Kreuzberg)",Etagenwohnung,4,61 m²,,2,1.0,1.0,915 €,1.115 €,Gepflegt
yesterday,112123745,Blick auf die Spree!,EmmaIhrerStr. ,"10317 Berlin, Lichtenberg (Lichtenberg)",Etagenwohnung,2 von 4,"93,88 m²",,3,2.0,2.0,"1.173,50 €","1.397,44 €",Neuwertig
yesterday,112120684,Schöne 2- Zimmerwohnung im sanierten Altbau ,Oranienstr. ,"10999 Berlin, Kreuzberg (Kreuzberg)",Etagenwohnung,2 von 4,"46,82 m²",,2,1.0,1.0,632 €,803 €,Vollständig renoviert
yesterday,112105195,Leben nahe Volkspark Rehberge im afrikanischen Viertel,Transvaalstr. ,"13351 Berlin, Wedding (Wedding)",Erdgeschosswohnung,0 von 4,"58,03 m²","58,03 m²",2,1.0,1.0,522 €,612 € (zzgl. Heizkosten),Vollständig renoviert
yesterday,112093195,"Neubau, möblierte gemütliche ruhige 3-Zi.-Wohnung mit Balkon, 2 Bäder, 'Märkisches Museum' (U2)",Wallstr. ,"10179 Berlin, Mitte (Mitte)",Etagenwohnung,2 von 7,"88,5 m²",,3,2.0,2.0,1.522 €,1.797 €,Neuwertig
yesterday,112146928,Gemütliche 2 Zimmer Wohnung an der Spree,Tabbertstraße ,"12459 Berlin, Oberschöneweide (Köpenick)",Etagenwohnung,1 von 5,"57,65 m²",,2,1.0,1.0,"778,28 €","951,23 €",Erstbezug
yesterday,112074735,Wunderschöne 2 Zimmerwohnung im Dachgeschoss - Balkon - Laminat - Duschbad,Prenzlauer Promenade ,"13189 Berlin, Pankow (Pankow)",Dachgeschoss,4 von 4,"63,04 m²",,2,2.0,1.0,"630,40 €","781,70 €",Gepflegt
yesterday,112070844,Wohnen in Staaken,Heerstr. ,"13591 Berlin, Staaken (Spandau)",Etagenwohnung,2,"62,78 m²",,2,1.0,1.0,490 €,645 €,Gepflegt
yesterday,112057986,Apartment am Potsdamer Platz!,JosephvonEichendorffGasse ,"10785 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,4,"93,19 m²",,3,2.0,1.0,1.600 €,2.000 €,Neuwertig
yesterday,112057979,Die Mitte Berlins - Leben am Potsdamer Platz!,JosephvonEichendorffGasse ,"10785 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,3,"86,36 m²",,2,1.0,1.0,1.470 €,1.841 €,Neuwertig
yesterday,112057918,Businessflats im Zentrum der Metropole!,Marlene Dietrich Platz ,"10785 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,4,"58,37 m²",,2,1.0,1.0,1.050 €,"1.283,48 €",Neuwertig
yesterday,112057910,Wohnen & Leben in der Metropole Berlin!,Marlene Dietrich Platz ,"10785 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,2,"58,37 m²",,2,1.0,1.0,1.000 €,"1.233,48 € (zzgl. Heizkosten)",Neuwertig
yesterday,112057335,Schickes Apartment in Top-Lage,Dorotheenstraße ,"10117 Berlin, Mitte (Mitte)",Etagenwohnung,4 von 7,"103,3 m²",,2,1.0,2.0,"1.291,25 €","1.595,98 €",Gepflegt
